Region,9 Items,7 Items
Afghanistan,0.23,0.15
Albania,-0.25,0.03
Algeria,0.47,0.63
Andorra,-1.08,-1.05
Angola,0.95,0.93
Anguilla,NA,-0.27
Antigua,NA,-0.27
Argentina,-0.12,0.03
Armenia,0.1,0.15
Aruba,NA,-0.28
Australia,-0.25,-0.14
Austria,-0.77,-0.65
Azerbaijan,0.33,0.29
Azores,NA,-0.73
Bahamas,NA,-0.51
Bahrain,0.1,0.15
Bangladesh,0.62,0.66
Barbados,NA,-0.15
Belarus,-0.75,-0.78
Belgium,-1,-0.78
Belize,NA,0.28
Benin,0.93,1.07
Bermuda,NA,-0.63
Bhutan,0.44,0.27
Bolivia,0.34,0.3
Bosnia and Herzegovina,0,0.03
Botswana,0.41,0.39
Brazil,0.93,1.06
Brunei,-0.01,0
Bulgaria,-0.35,-0.1
Burkina Faso,1.16,1.19
Burundi,1.06,1.07
Cambodia,0.45,0.28
Cameroon,1.17,1.2
Canada,-1.31,-1.18
Canary Islands,NA,-0.23
Cape Verde,NA,-0.26
Cayman Islands,NA,-0.65
Central African Republic,1.16,1.19
Chad,1.04,1.04
Chile,-0.45,-0.22
China (PRC),1.03,1.03
Christmas Island,NA,-1.04
Colombia,0.27,0.53
Comoros,NA,-0.25
"Congo, Democratic Republic",0.97,0.95
"Congo, Republic",1.16,1.19
Cook Islands,NA,-0.93
Costa Rica,0.12,0.18
Cote d‰ÛªIvoire,1.06,1.06
Croatia,-0.44,-0.38
Cuba,NA,0
Kazakhstan,NA,-0.38
Kenya,0.95,0.92
Kiribati,NA,-0.53
"Korea, North",0.12,-0.14
"Korea, South",-0.11,-0.28
Kuwait,-0.34,-0.25
Kyrgyzstan,NA,-0.38
Laos,0.45,0.28
Latvia,-0.62,-0.78
Lebanon,0.36,0.65
Lesotho,0.01,-0.13
Liberia,0.73,0.8
Libya,0.04,0.24
Liechtenstein,-1.08,-1.05
Lithuania,-0.75,-0.78
Luxembourg,-1.11,-0.91
Macau,0.1,-0.01
Macedonia,-0.25,0.03
Madagascar,0.63,0.51
Malawi,0.73,0.64
Malaysia,0.5,0.51
Maldives,NA,-0.9
Mali,1.04,1.04
Malta,-0.41,-0.5
Marshall Islands,NA,-0.25
Martinique,NA,0.24
Mauritania,0.31,0.26
Mauritius,NA,0.11
Mexico,0.28,0.56
Micronesia,NA,-0.11
Moldova,-0.31,-0.37
Monaco,-0.77,-0.65
