estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
1.2546062847235733,4.453655472655217,0.0015917694239030676,9,0.6173507513971429,1.8918618180500035,One Sample t-test,two.sided
1.856719733392591,9.095138046228474,7.833655857343711e-6,9,1.3949134559227798,2.3185260108624024,One Sample t-test,two.sided
3.0465257686281477,9.281892682147891,6.629603352356011e-6,9,2.3040349507363937,3.7890165865199013,One Sample t-test,two.sided
3.973446538616188,14.651319651786393,1.383531703441688e-7,9,3.3599481806556204,4.586944896576756,One Sample t-test,two.sided
5.007370447555134,13.859847673167328,2.2370211051163572e-7,9,4.190084486566481,5.824656408543786,One Sample t-test,two.sided
6.053990488152984,28.004722723607983,4.5868588084945286e-10,9,5.564963045123079,6.543017931182888,One Sample t-test,two.sided
6.884001712236665,25.575185594682758,1.028537065896887e-9,9,6.275103148259521,7.492900276213808,One Sample t-test,two.sided
7.8190489626799105,28.818580550249404,3.5535836986558163e-10,9,7.205281133749032,8.43281679161079,One Sample t-test,two.sided
9.077430861483231,38.907596151991406,2.432368131558924e-11,9,8.549652811076518,9.605208911889944,One Sample t-test,two.sided
9.831802409600282,22.0204346662209,3.879360666407029e-9,9,8.82178228142309,10.841822537777473,One Sample t-test,two.sided
11.001722458647455,36.40597889147277,4.408515242771632e-11,9,10.318108777028348,11.685336140266562,One Sample t-test,two.sided
11.708255788970337,43.38364792583404,9.17192688724124e-12,9,11.09775123337899,12.318760344561683,One Sample t-test,two.sided
13.083144652076038,33.46731811338012,9.355412369084404e-11,9,12.198815370406276,13.967473933745799,One Sample t-test,two.sided
13.499520454472018,42.39386970167613,1.1278938801961205e-11,9,12.779179586669207,14.21986132227483,One Sample t-test,two.sided
14.600090839765432,40.80693538593917,1.587406401935533e-11,9,13.790725966899725,15.409455712631141,One Sample t-test,two.sided
15.91019324769909,40.20591318723116,1.8129962314178086e-11,9,15.015017519462763,16.805368975935412,One Sample t-test,two.sided
16.565096511483418,56.008040227656245,9.279557594444897e-13,9,15.896034505857447,17.23415851710939,One Sample t-test,two.sided
